action,run_nr,file_name,bloom,simple,hbase,rondb,rondb_cluster
insert,0,insert_0,6.56071996688843,6.01617455482483,4.35117197036743,6.23098206520081,6.14130640029907
insert,1,insert_1,6.15408611297607,6.02153038978577,3.90437793731689,6.28955435752869,5.98910856246948
insert,2,insert_2,6.12163519859314,6.06005048751831,4.19503235816956,6.04421305656433,6.05781555175781
insert,3,insert_3,6.0714795589447,5.96502065658569,4.15832757949829,5.97264385223389,6.02830529212952
insert,4,insert_4,6.15591883659363,5.9228036403656,3.79854917526245,6.0033278465271,5.8746018409729
insert,5,insert_5,6.1382327079773,6.00616216659546,3.92092871665955,5.95188760757446,5.9781928062439
insert,6,insert_6,6.03235912322998,5.89960098266602,4.04873442649841,6.07031416893005,5.94772815704346
insert,7,insert_7,6.08475255966187,5.978102684021,3.8575644493103,6.05342841148376,5.98264074325562
insert,8,insert_8,6.06695199012756,6.02395296096802,3.79489088058472,5.94348883628845,5.99007415771484
insert,9,insert_9,6.59286379814148,6.37341403961182,4.36958718299866,6.38181209564209,6.37186932563782
upsert,0,upsert_0,50.5506930351257,90.2865376472473,42.4003849029541,44.8215026855469,44.8878974914551
upsert,1,upsert_1,50.039669752121,90.4284834861755,44.320475101471,45.4418642520905,44.9597792625427
upsert,2,upsert_2,49.1140027046204,89.3970966339111,42.6664342880249,45.8164665699005,44.8909091949463
upsert,3,upsert_3,47.2838742733002,89.1214284896851,43.2463970184326,44.2570416927338,45.2265594005585
upsert,4,upsert_4,49.0172638893128,89.4723789691925,44.499000787735,44.4866697788239,45.3932707309723
upsert,5,upsert_5,49.7172930240631,91.4065976142883,45.5120694637299,44.5805048942566,46.7235860824585
upsert,6,upsert_6,45.5952932834625,86.0319526195526,42.3802695274353,40.8960633277893,41.5031242370606
upsert,7,upsert_7,51.5218803882599,91.9345726966858,47.2467927932739,47.1720173358917,45.9933960437775
upsert,8,upsert_8,48.196724653244,89.496021270752,43.0131335258484,44.5157778263092,45.0248305797577
upsert,9,upsert_9,48.2552423477173,89.3176426887512,43.766774892807,44.2802300453186,45.9447638988495
delete,0,delete_0,44.5803525447846,86.9970948696136,41.6300656795502,42.447731256485,42.0738868713379
delete,1,delete_1,49.5697696208954,91.5071439743042,45.0947046279907,46.0676956176758,45.9224302768707
delete,2,delete_2,49.6510539054871,92.8922069072723,46.4392309188843,46.0836670398712,45.8754715919495
delete,3,delete_3,51.1455848217011,94.2324147224426,48.14102435112,47.6633155345917,47.6827533245087
delete,4,delete_4,48.6811439990997,89.4998912811279,44.5951776504517,44.1607620716095,45.6355776786804
delete,5,delete_5,57.1666142940521,96.3996467590332,51.7930898666382,52.5583527088165,51.4983553886414
delete,6,delete_6,50.3308122158051,91.3044617176056,45.058974981308,45.0402481555939,45.8315024375916
delete,7,delete_7,48.8074569702148,90.990033864975,44.9820380210876,45.6612622737885,45.0556671619415
delete,8,delete_8,49.9959774017334,92.9353561401367,47.830911397934,48.0730767250061,46.9098281860352
delete,9,delete_9,50.4070475101471,91.9878845214844,46.6400578022003,45.9747714996338,45.6355957984924
